# theta_idx, align_idx, realization, theta_value, align_value, seedpoints, density
0, 4, 2, 0.0, 1.4444444444444444, [2189.89922569], 447.20348268375017
0, 4, 3, 0.0, 1.4444444444444444, [2189.89922569], 450.2382179260175
0, 4, 4, 0.0, 1.4444444444444444, [2189.89922569], 436.22850896304124
0, 4, 5, 0.0, 1.4444444444444444, [2189.89922569], 463.56141245089225
0, 4, 6, 0.0, 1.4444444444444444, [2189.89922569], 435.69430760840135
0, 4, 7, 0.0, 1.4444444444444444, [2189.89922569], 440.8922266496594
0, 4, 8, 0.0, 1.4444444444444444, [2189.89922569], 450.5103825929532
0, 4, 9, 0.0, 1.4444444444444444, [2189.89922569], 435.6694395636315
0, 5, 0, 0.0, 1.5555555555555556, [2108.58446915], 417.4051577809496
0, 5, 1, 0.0, 1.5555555555555556, [2108.58446915], 455.84701183746705
0, 5, 2, 0.0, 1.5555555555555556, [2108.58446915], 449.4492369742178
0, 5, 3, 0.0, 1.5555555555555556, [2108.58446915], 430.52631209564
0, 5, 4, 0.0, 1.5555555555555556, [2108.58446915], 471.33785743004916
0, 5, 5, 0.0, 1.5555555555555556, [2108.58446915], 441.0155913364959
0, 5, 6, 0.0, 1.5555555555555556, [2108.58446915], 452.483241296453
0, 5, 7, 0.0, 1.5555555555555556, [2108.58446915], 435.29866796625595
0, 5, 8, 0.0, 1.5555555555555556, [2108.58446915], 434.5419746174631
0, 5, 9, 0.0, 1.5555555555555556, [2108.58446915], 393.5161014667177
0, 6, 0, 0.0, 1.6666666666666665, [2027.33304121], 436.68523328189787
0, 6, 1, 0.0, 1.6666666666666665, [2027.33304121], 478.7329736464179
0, 6, 2, 0.0, 1.6666666666666665, [2027.33304121], 434.30727394939015
0, 6, 3, 0.0, 1.6666666666666665, [2027.33304121], 411.8321980207409
0, 6, 4, 0.0, 1.6666666666666665, [2027.33304121], 435.0014666182681
0, 6, 5, 0.0, 1.6666666666666665, [2027.33304121], 463.2587053622517
0, 6, 6, 0.0, 1.6666666666666665, [2027.33304121], 428.64912078910055
0, 6, 7, 0.0, 1.6666666666666665, [2027.33304121], 424.0721192678873
0, 6, 8, 0.0, 1.6666666666666665, [2027.33304121], 420.83181427785274
0, 6, 9, 0.0, 1.6666666666666665, [2027.33304121], 431.09281254307507
0, 7, 0, 0.0, 1.7777777777777777, [1946.13370789], 453.587842676927
0, 7, 1, 0.0, 1.7777777777777777, [1946.13370789], 439.07507305114234
0, 7, 2, 0.0, 1.7777777777777777, [1946.13370789], 445.8516757229674
0, 7, 3, 0.0, 1.7777777777777777, [1946.13370789], 425.87269465684835
0, 7, 4, 0.0, 1.7777777777777777, [1946.13370789], 439.23769153836275
0, 7, 5, 0.0, 1.7777777777777777, [1946.13370789], 406.0515814561182
0, 7, 6, 0.0, 1.7777777777777777, [1946.13370789], 455.68700012773957
0, 7, 7, 0.0, 1.7777777777777777, [1946.13370789], 427.03542137724673
0, 7, 8, 0.0, 1.7777777777777777, [1946.13370789], 454.8598690254262
0, 7, 9, 0.0, 1.7777777777777777, [1946.13370789], 448.9411883512539
0, 8, 0, 0.0, 1.8888888888888888, [1864.97774664], 442.41668989009236
0, 8, 1, 0.0, 1.8888888888888888, [1864.97774664], 430.4829166329099
0, 8, 2, 0.0, 1.8888888888888888, [1864.97774664], 449.0832640864023
0, 8, 3, 0.0, 1.8888888888888888, [1864.97774664], 452.3160916052607
0, 8, 4, 0.0, 1.8888888888888888, [1864.97774664], 468.3201590483085
0, 8, 5, 0.0, 1.8888888888888888, [1864.97774664], 469.0462990231753
0, 8, 6, 0.0, 1.8888888888888888, [1864.97774664], 462.1174302959819
0, 8, 7, 0.0, 1.8888888888888888, [1864.97774664], 457.5405028612254
0, 8, 8, 0.0, 1.8888888888888888, [1864.97774664], 442.1600688061278
0, 8, 9, 0.0, 1.8888888888888888, [1864.97774664], 445.72253894791163
0, 9, 0, 0.0, 2.0, [1783.85828106], 456.1416708576642
0, 9, 1, 0.0, 2.0, [1783.85828106], 447.5068668682174
0, 9, 2, 0.0, 2.0, [1783.85828106], 439.3517754549705
0, 9, 3, 0.0, 2.0, [1783.85828106], 450.5647618170459
0, 9, 4, 0.0, 2.0, [1783.85828106], 456.8520582520465
0, 9, 5, 0.0, 2.0, [1783.85828106], 495.3004842557161
0, 9, 6, 0.0, 2.0, [1783.85828106], 456.2101489319563
0, 9, 7, 0.0, 2.0, [1783.85828106], 467.7031265193208
0, 9, 8, 0.0, 2.0, [1783.85828106], 432.0355472707083
0, 9, 9, 0.0, 2.0, [1783.85828106], 463.7107067323707
1, 0, 0, 0.15707963267948966, 1.0, [2516.17545407], 442.6246555054298
1, 0, 1, 0.15707963267948966, 1.0, [2516.17545407], 478.2538824513558
1, 0, 2, 0.15707963267948966, 1.0, [2516.17545407], 473.5163484344398
1, 0, 3, 0.15707963267948966, 1.0, [2516.17545407], 446.1319339909761
1, 0, 4, 0.15707963267948966, 1.0, [2516.17545407], 449.9570201449785
1, 0, 5, 0.15707963267948966, 1.0, [2516.17545407], 439.9251542669371
1, 0, 6, 0.15707963267948966, 1.0, [2516.17545407], 439.82559032399877
1, 0, 7, 0.15707963267948966, 1.0, [2516.17545407], 466.98910954502566
